,movie_id,name
0,11,"['Mark Hamill', 'Harrison Ford', 'Carrie Fisher']"
1,12,"['Albert Brooks', 'Ellen DeGeneres', 'Alexander Gould']"
2,13,"['Tom Hanks', 'Robin Wright', 'Gary Sinise']"
3,22,"['Johnny Depp', 'Orlando Bloom', 'Keira Knightley']"
4,35,"['Dan Castellaneta', 'Julie Kavner', 'Nancy Cartwright']"
5,58,"['Johnny Depp', 'Orlando Bloom', 'Keira Knightley']"
6,85,"['Harrison Ford', 'Karen Allen', 'Paul Freeman']"
7,98,"['Russell Crowe', 'Joaquin Phoenix', 'Connie Nielsen']"
8,105,"['Michael J. Fox', 'Christopher Lloyd', 'Lea Thompson']"
9,106,"['Arnold Schwarzenegger', 'Carl Weathers', 'Elpidia Carrillo']"
10,118,"['Johnny Depp', 'Freddie Highmore', 'David Kelly']"
11,120,"['Elijah Wood', 'Ian McKellen', 'Liv Tyler']"
12,121,"['Elijah Wood', 'Ian McKellen', 'Liv Tyler']"
13,122,"['Elijah Wood', 'Ian McKellen', 'Liv Tyler']"
14,129,"['Rumi Hiiragi', 'Miyu Irino', 'Mari Natsuki']"
15,155,"['Christian Bale', 'Heath Ledger', 'Michael Caine']"
16,162,"['Johnny Depp', 'Winona Ryder', 'Dianne Wiest']"
17,176,"['Cary Elwes', 'Leigh Whannell', 'Danny Glover']"
18,189,"['Mickey Rourke', 'Jessica Alba', 'Bruce Willis']"
19,218,"['Linda Hamilton', 'Michael Biehn', 'Arnold Schwarzenegger']"
20,238,"['Marlon Brando', 'Al Pacino', 'James Caan']"
21,240,"['Al Pacino', 'Robert De Niro', 'Robert Duvall']"
22,272,"['Christian Bale', 'Michael Caine', 'Liam Neeson']"
23,278,"['Tim Robbins', 'Morgan Freeman', 'Bob Gunton']"
24,280,"['Arnold Schwarzenegger', 'Linda Hamilton', 'Edward Furlong']"
25,285,"['Johnny Depp', 'Orlando Bloom', 'Keira Knightley']"
26,310,"['Jim Carrey', 'Morgan Freeman', 'Jennifer Aniston']"
27,348,"['Sigourney Weaver', 'Tom Skerritt', 'John Hurt']"
28,350,"['Anne Hathaway', 'Meryl Streep', 'Emily Blunt']"
29,408,"['Adriana Caselotti', 'Lucille La Verne', 'Harry Stockwell']"
30,411,"['Georgie Henley', 'Skandar Keynes', 'William Moseley']"
31,425,"['Ray Romano', 'John Leguizamo', 'Denis Leary']"
32,440,"['Steven Pasquale', 'Reiko Aylesworth', 'John Ortiz']"
33,489,"['Matt Damon', 'Robin Williams', 'Ben Affleck']"
34,497,"['Tom Hanks', 'David Morse', 'Bonnie Hunt']"
35,534,"['Christian Bale', 'Sam Worthington', 'Moon Bloodgood']"
