,movie_id,director
0,11,['George Lucas']
1,12,['Andrew Stanton']
2,13,['Robert Zemeckis']
3,22,['Gore Verbinski']
4,35,['David Silverman']
5,58,['Gore Verbinski']
6,85,['Steven Spielberg']
7,98,['Ridley Scott']
8,105,['Robert Zemeckis']
9,106,['John McTiernan']
10,118,['Tim Burton']
11,120,['Peter Jackson']
12,121,['Peter Jackson']
13,122,['Peter Jackson']
14,129,['Hayao Miyazaki']
15,155,['Christopher Nolan']
16,162,['Tim Burton']
17,176,['James Wan']
18,189,"['Robert Rodriguez', 'Frank Miller']"
19,218,['James Cameron']
20,238,['Francis Ford Coppola']
21,240,['Francis Ford Coppola']
22,272,['Christopher Nolan']
23,278,['Frank Darabont']
24,280,['James Cameron']
25,285,['Gore Verbinski']
26,310,['Tom Shadyac']
27,348,['Ridley Scott']
28,350,['David Frankel']
29,408,['David Hand']
30,411,['Andrew Adamson']
31,425,['Chris Wedge']
32,440,"['Colin Strause', 'Greg Strause']"
33,489,['Gus Van Sant']
34,497,['Frank Darabont']
35,534,['McG']
36,550,['David Fincher']
37,557,['Sam Raimi']
38,558,['Sam Raimi']
39,559,['Sam Raimi']
40,561,['Francis Lawrence']
41,585,['Pete Docter']
42,597,['James Cameron']
43,603,"['Lilly Wachowski', 'Lana Wachowski']"
44,604,"['Lilly Wachowski', 'Lana Wachowski']"
45,605,"['Lilly Wachowski', 'Lana Wachowski']"
46,615,['Mel Gibson']
47,620,['Ivan Reitman']
48,630,['Victor Fleming']
49,652,['Wolfgang Petersen']
50,671,['Chris Columbus']
51,672,['Chris Columbus']
52,673,['Alfonso Cuarón']
53,674,['Mike Newell']
54,675,['David Yates']
55,680,['Quentin Tarantino']
56,694,['Stanley Kubrick']
57,756,"['David Hand', 'James Algar', 'Samuel Armstrong', 'Ben Sharpsteen', 'William Roberts', 'Paul Satterfield', 'Hamilton Luske', 'Jim Handley', 'Ford Beebe', 'T. Hee', 'Wilfred Jackson', 'Norman Ferguson']"
58,767,['David Yates']
59,772,['Chris Columbus']
60,808,"['Andrew Adamson', 'Vicky Jenson']"
61,809,"['Andrew Adamson', 'Kelly Asbury', 'Conrad Vernon']"
62,810,['Chris Miller']
63,812,"['Ron Clements', 'John Musker']"
64,841,['David Lynch']
65,854,['Chuck Russell']
66,857,['Steven Spielberg']
67,862,['John Lasseter']
68,863,['John Lasseter']
69,920,['John Lasseter']
70,950,['Carlos Saldanha']
71,953,"['Eric Darnell', 'Tom McGrath']"
72,1250,['Mark Steven Johnson']
73,1267,['Stephen J. Anderson']
74,1369,['George P. Cosmatos']
75,1374,['Sylvester Stallone']
76,1579,['Mel Gibson']
77,1724,['Louis Leterrier']
78,1725,"['Robert Wise', 'Jerome Robbins']"
79,1726,['Jon Favreau']
80,1734,['Stephen Sommers']
81,1771,['Joe Johnston']
82,1865,['Rob Marshall']
83,1893,['George Lucas']
84,1930,['Marc Webb']
85,2062,['Brad Bird']
86,2105,"['Chris Weitz', 'Paul Weitz']"
87,2109,['Brett Ratner']
88,2454,['Andrew Adamson']
89,2770,['J.B. Rogers']
90,2978,['Ivan Reitman']
91,3170,['David Hand']
92,3933,"['Tim Burton', 'Mike Johnson']"
93,4247,['Keenen Ivory Wayans']
94,4248,['Keenen Ivory Wayans']
95,4256,['David Zucker']
96,4257,['David Zucker']
97,4258,['Malcolm D. Lee']
98,4523,['Kevin Lima']
99,4564,['Michael Patrick King']
100,4935,['Hayao Miyazaki']
101,5174,['Brett Ratner']
102,5175,['Brett Ratner']
103,5255,['Robert Zemeckis']
104,5559,"['Steve Hickner', 'Simon J. Smith']"
105,6466,['Ronny Yu']
106,6477,['Tim Hill']
107,6479,['Francis Lawrence']
108,6522,['Ted Demme']
109,7342,['David Carson']
110,7443,"['Nick Park', 'Peter Lord']"
111,7445,['Jim Sheridan']
112,7446,['Ben Stiller']
113,7485,['Antoine Fuqua']
114,7555,['Sylvester Stallone']
115,7980,['Peter Jackson']
116,8204,['Mark Waters']
117,8273,['Jesse Dylan']
118,8274,['Steve Rash']
119,8275,['Joe Nussbaum']
120,8277,['Andrew Waller']
121,8355,['Carlos Saldanha']
122,8363,['Greg Mottola']
123,8373,['Michael Bay']
124,8392,['Hayao Miyazaki']
125,8587,"['Roger Allers', 'Rob Minkoff']"
126,8681,['Pierre Morel']
127,8871,['Ron Howard']
128,8920,['Peter Hewitt']
129,8922,['Victor Salva']
130,8960,['Peter Berg']
131,8961,['Michael Bay']
132,8966,['Catherine Hardwicke']
133,8982,['Prachya Pinkaew']
134,9021,['Michael Lembeck']
135,9023,"['Kelly Asbury', 'Lorna Cook']"
136,9072,['Keenen Ivory Wayans']
137,9279,['Brian Levant']
138,9286,['James Wong']
139,9297,['Gil Kenan']
140,9316,['Prachya Pinkaew']
141,9323,['Mamoru Oshii']
142,9325,['Wolfgang Reitherman']
143,9358,['David R. Ellis']
144,9373,['Marcus Nispel']
145,9431,['Gilbert Adler']
146,9444,"['Gary Goldman', 'Don Bluth']"
147,9473,['Trey Parker']
148,9479,['Henry Selick']
149,9487,['John Lasseter']
150,9488,['Robert Rodriguez']
151,9502,"['Mark Osborne', 'John Stevenson']"
152,9532,['James Wong']
153,9543,['Mike Newell']
154,9552,['William Friedkin']
155,9637,['Raja Gosnell']
156,9702,['Taylor Hackford']
157,9714,['Raja Gosnell']
158,9732,['Darrell Rooney']
159,9737,['Michael Bay']
160,9757,['Brian Robbins']
161,9763,['Danny Cannon']
162,9769,['Adrian Lyne']
163,9806,['Brad Bird']
164,9820,['Nancy Meyers']
165,9836,['George Miller']
166,9902,['Rob Schmidt']
167,9904,"[""Steve 'Spaz' Williams""]"
168,9948,['Jim Kammerud']
169,10009,"['Aaron Blaise', 'Robert Walker']"
170,10020,"['Gary Trousdale', 'Kirk Wise']"
171,10054,['Robert Rodriguez']
172,10073,['Aaron Seltzer']
173,10112,['Wolfgang Reitherman']
174,10137,['Rob Minkoff']
175,10138,['Jon Favreau']
176,10140,['Michael Apted']
177,10144,"['Ron Clements', 'John Musker']"
178,10184,['Ken Kwapis']
179,10191,"['Chris Sanders', 'Dean DeBlois']"
180,10192,['Mike Mitchell']
181,10193,['Lee Unkrich']
182,10195,['Kenneth Branagh']
183,10196,['M. Night Shyamalan']
184,10198,"['Ron Clements', 'John Musker']"
185,10201,['Peyton Reed']
186,10202,['Adam Shankman']
187,10340,"['Hamilton Luske', 'Wilfred Jackson', 'Clyde Geronimi']"
188,10358,['Kevin Smith']
189,10386,['Brad Bird']
190,10501,"['Bibo Bergeron', 'Don Paul']"
191,10521,['Gary Winick']
192,10527,"['Eric Darnell', 'Tom McGrath']"
193,10555,"['Vicky Jenson', 'Bibo Bergeron', 'Rob Letterman']"
194,10567,"['Ralph Zondag', 'Eric Leighton']"
195,10585,['Tom Holland']
196,10588,['Bo Welch']
197,10591,['Luke Greenfield']
198,10607,['Paris Barclay']
199,10625,['Mark Waters']
200,10674,"['Tony Bancroft', 'Barry Cook']"
