,id,genre_ids,genre_name
0,11,"[878, 28, 12]","['Science Fiction', 'Action', 'Adventure']"
1,12,"[16, 10751]","['Animation', 'Family']"
2,13,"[35, 18, 10749]","['Comedy', 'Drama', 'Romance']"
3,22,"[28, 12, 14]","['Action', 'Adventure', 'Fantasy']"
4,35,"[35, 16, 10751]","['Comedy', 'Animation', 'Family']"
5,58,"[28, 12, 14]","['Action', 'Adventure', 'Fantasy']"
6,85,"[28, 12]","['Action', 'Adventure']"
7,98,"[28, 12, 18]","['Action', 'Adventure', 'Drama']"
8,105,"[878, 12, 35, 10751]","['Science Fiction', 'Adventure', 'Comedy', 'Family']"
9,106,"[878, 28, 12, 53]","['Science Fiction', 'Action', 'Adventure', 'Thriller']"
10,118,"[12, 35, 14, 10751]","['Adventure', 'Comedy', 'Fantasy', 'Family']"
11,120,"[28, 12, 14]","['Action', 'Adventure', 'Fantasy']"
12,121,"[28, 12, 14]","['Action', 'Adventure', 'Fantasy']"
13,122,"[28, 12, 14]","['Action', 'Adventure', 'Fantasy']"
14,129,"[14, 16, 10751]","['Fantasy', 'Animation', 'Family']"
15,155,"[28, 80, 53, 18]","['Action', 'Crime', 'Thriller', 'Drama']"
16,162,"[14, 18, 10749]","['Fantasy', 'Drama', 'Romance']"
17,176,"[80, 27, 9648]","['Crime', 'Horror', 'Mystery']"
18,189,"[28, 80, 53]","['Action', 'Crime', 'Thriller']"
19,218,"[878, 28, 53]","['Science Fiction', 'Action', 'Thriller']"
20,238,"[80, 18]","['Crime', 'Drama']"
21,240,"[80, 18]","['Crime', 'Drama']"
22,272,"[28, 80, 18]","['Action', 'Crime', 'Drama']"
23,278,"[80, 18]","['Crime', 'Drama']"
24,280,"[878, 28, 53]","['Science Fiction', 'Action', 'Thriller']"
25,285,"[28, 12, 14]","['Action', 'Adventure', 'Fantasy']"
26,310,"[35, 14]","['Comedy', 'Fantasy']"
27,348,"[878, 27]","['Science Fiction', 'Horror']"
28,350,"[35, 18, 10749]","['Comedy', 'Drama', 'Romance']"
29,408,"[14, 16, 10751]","['Fantasy', 'Animation', 'Family']"
30,411,"[12, 14, 10751]","['Adventure', 'Fantasy', 'Family']"
31,425,"[12, 35, 16, 10751]","['Adventure', 'Comedy', 'Animation', 'Family']"
32,440,"[878, 28, 53, 14, 27]","['Science Fiction', 'Action', 'Thriller', 'Fantasy', 'Horror']"
33,489,[18],['Drama']
34,497,"[80, 14, 18]","['Crime', 'Fantasy', 'Drama']"
35,534,"[878, 28, 53]","['Science Fiction', 'Action', 'Thriller']"
36,550,[18],['Drama']
37,557,"[28, 14]","['Action', 'Fantasy']"
38,558,"[28, 12, 14]","['Action', 'Adventure', 'Fantasy']"
39,559,"[28, 12, 14]","['Action', 'Adventure', 'Fantasy']"
40,561,"[28, 14, 27]","['Action', 'Fantasy', 'Horror']"
41,585,"[35, 16, 10751]","['Comedy', 'Animation', 'Family']"
42,597,"[18, 10749]","['Drama', 'Romance']"
43,603,"[878, 28]","['Science Fiction', 'Action']"
44,604,"[878, 28, 12, 53]","['Science Fiction', 'Action', 'Adventure', 'Thriller']"
45,605,"[878, 28, 12, 53]","['Science Fiction', 'Action', 'Adventure', 'Thriller']"
46,615,[18],['Drama']
47,620,"[35, 14]","['Comedy', 'Fantasy']"
48,630,"[12, 14, 10751]","['Adventure', 'Fantasy', 'Family']"
49,652,"[12, 36, 10752]","['Adventure', 'History', 'War']"
50,671,"[12, 14]","['Adventure', 'Fantasy']"
