,movie_id,name
0,11,"['android', 'galaxy', 'hermit']"
1,12,"['parent child relationship', 'sydney, australia', 'harbor']"
2,13,"['vietnam veteran', 'hippie', 'washington dc, usa']"
3,22,"['exotic island', 'blacksmith', 'east india company']"
4,35,"['parent child relationship', 'garbage', 'pollution']"
5,58,"['witch', 'fortune teller', 'bondage']"
6,85,"['saving the world', 'riddle', 'nepal']"
7,98,"['rome, italy', 'parent child relationship', 'gladiator']"
8,105,"['clock tower', 'flying car', 'car race']"
9,106,"['guerrilla warfare', 'central and south america', 'predator']"
10,118,"['london, england', 'chocolate', 'factory worker']"
11,120,"['elves', 'dwarf', 'orcs']"
12,121,"['elves', 'dwarf', 'orcs']"
13,122,"['elves', 'dwarf', 'orcs']"
14,129,"['witch', 'parent child relationship', 'magic']"
15,155,"['dc comics', 'crime fighter', 'secret identity']"
16,162,"['underdog', 'love at first sight', 'hairdresser']"
17,176,"['detective', 'shotgun', 'sadism']"
18,189,"['detective', 'dystopia', 'dominatrix']"
19,218,"['saving the world', 'artificial intelligence', 'rebel']"
20,238,"['italy', 'loss of loved one', 'love at first sight']"
21,240,"['italy', 'italian american', 'cuba']"
22,272,"['loss of loved one', 'martial arts', 'dc comics']"
23,278,"['prison', 'corruption', 'police brutality']"
24,280,"['cyborg', 'shotgun', 'villain']"
25,285,"['exotic island', 'east india company', ""love of one's life""]"
26,310,"['christianity', 'moon', 'moses']"
27,348,"['android', 'spacecraft', 'countdown']"
28,350,"['paris, france', 'new york city', 'journalist']"
29,408,"['poison', 'dwarf', 'witch']"
30,411,"['saving the world', 'sibling relationship', 'witch']"
31,425,"['human evolution', 'loss of loved one', 'parent child relationship']"
32,440,"['predator', 'colorado', 'national guard']"
33,489,"['baseball', 'boston, massachusetts', 'professor']"
34,497,"['southern usa', 'mentally disabled', 'based on novel or book']"
35,534,"['saving the world', 'artificial intelligence', 'prophecy']"
36,550,"['based on novel or book', 'support group', 'dual identity']"
37,557,"['new york city', 'loss of loved one', 'adolescence']"
38,558,"['new york city', 'dual identity', 'secret identity']"
39,559,"['loss of loved one', 'dual identity', 'amnesia']"
40,561,"['christianity', 'angel', 'confession']"
41,585,"['monster', 'cheating', 'kidnapping']"
42,597,"['drowning', 'evacuation', 'shipwreck']"
43,603,"['saving the world', 'artificial intelligence', 'man vs machine']"
44,604,"['saving the world', 'artificial intelligence', 'man vs machine']"
45,605,"['saving the world', 'artificial intelligence', 'man vs machine']"
46,615,"['christianity', 'jewry', 'roman empire']"
47,620,"['new york city', 'library', 'mythology']"
48,630,"['witch', 'adolescence', 'based on novel or book']"
49,652,"['sibling relationship', 'adultery', 'mythology']"
50,671,"['witch', 'based on novel or book', 'magic']"
51,672,"['flying car', 'witch', 'magic']"
52,673,"['flying', 'traitor', 'magic']"
53,674,"['based on novel or book', 'magic', 'dying and death']"
54,675,"['prophecy', 'witch', 'loss of loved one']"
55,680,"['drug dealer', 'boxer', 'massage']"
56,694,"['hotel', 'montana', 'based on novel or book']"
57,756,"['orchestra', 'musical', 'classical music']"
58,767,"['witch', 'magic', 'school of witchcraft']"
59,772,"['holiday', 'new york city', 'burglar']"
60,808,"['magic', 'liberation', 'lordship']"
61,809,"['prison', 'magic', 'liberation']"
62,810,"['ambush', 'sadness', 'stage']"
63,812,"['magic', 'parrot', 'musical']"
64,841,"['prophecy', 'witch', 'based on novel or book']"
65,854,"['dual identity', 'bank', 'mockery']"
66,857,"['war crimes', 'self sacrifice', 'war veteran']"
67,862,"['martial arts', 'jealousy', 'friendship']"
68,863,"['museum', 'prosecution', 'identity crisis']"
69,920,"['car race', 'route 66', 'porsche']"
70,950,"['mammoth', 'sloth', 'ice age']"
71,953,"['africa', 'island', 'lion']"
