,id,overview,poster_path,title,vote_average,vote_count,popularity,release_date,backdrop_path
0,580489,"Po znalezieniu ciała gospodarza u reportera śledczego Eddiego Brocka, obcy symbiont musi stawić czoła nowemu wrogowi, Carnage, alter ego seryjnego mordercy Cletusa Kasady.",/rzWCF8QOyB3BNP6k1AR6ba8bHyu.jpg,Venom 2: Carnage,7.2,4500,6972.003,2021-09-30,/eENEf62tMXbhyVvdcXlnQz2wcuT.jpg
1,512195,"Gdy Interpol wystawia czerwoną notę - globalny list gończy za najbardziej poszukiwanymi przestępcami na świecie - do akcji wkracza najlepszy behawiorysta z FBI John Hartley. W czasie pościgu przypadkiem trafia w sam środek brawurowego skoku. Aby złapać najgroźniejszego złodzieja dzieł sztuki na świecie znanego jako ""The Bishop"", musi współpracować z jego rywalem Nolanem Boothem. Szalona przygoda rzuci to - ku niezadowoleniu niektórych - nierozłączne trio w najdalsze zakątki świata, na parkiet taneczny, do więzienia i do dżungli. ""Czerwona nota"" to stylowa, brawurowa gra w kotka i myszkę (i kotka).",/lUyYcx7DR06oAFBwLaxOObJn2lW.jpg,Czerwona nota,6.8,2016,4496.76,2021-11-04,/7ajHGIAYNMiIzejy1LJWdPrcAx8.jpg
2,634649,"Po raz pierwszy w kinowej historii Spider-Mana nasz przyjazny bohater z sąsiedztwa zostaje zdemaskowany i nie jest już w stanie oddzielić swojego normalnego życia od wysokiej stawki bycia superbohaterem. Kiedy prosi o pomoc Doktora Strange'a, stawka staje się jeszcze bardziej niebezpieczna, zmuszając go do odkrycia, co to naprawdę znaczy być Spider-Manem.",/1g0dhYtq4irTY1GPXvft6k4YLjm.jpg,Spider-Man: Bez drogi do domu,8.4,84,4062.446,2021-12-15,/VlHt27nCqOuTnuX6bku8QZapzO.jpg
3,568124,"Dziewczynka pochodzi z kolumbijskiej rodziny, która obdarzona jest magicznymi mocami. Niestety ona sama nie posiada tego daru.",/4j0PNHkMr5ax3IA8tjtxcmPU3QT.jpg,Nasze magiczne Encanto,7.4,328,2579.114,2021-11-24,/5RuR7GhOI5fElADXZb0X2sr9w5n.jpg
4,585245,"Ośmioletnia dziewczynka, Emily Elizabeth marzy o tym, aby jej maleńki, czerwony szczeniak urósł i był silny, nie spodziewa się jednak, że budząc się pewnego ranka znajdzie wielkiego psa w swoim małym mieszkaniu w Nowym Jorku. Emily za wszelką cenę chce, aby ukochany zwierzak został z nią. Postanawia znaleźć czarodzieja, który, przywróci Clifforda do normalnego rozmiaru. Na poszukiwania udaje się ze swoim wujem Caseyem i szkolnym kolegą Owenem. Clifford wzbudza powszechne zaciekawienie. Przyciąga również uwagę złego naukowca, który chce aby Clifford został jego psem.",/ygPTrycbMSFDc5zUpy4K5ZZtQSC.jpg,Clifford. Wielki czerwony pies,7.6,568,2509.512,2021-11-10,/gSq4IvnsMKJQf0FaKn9bDE2Sggq.jpg
5,566525,"Sierota obdarzony specjalnymi mocami,  wychowany w szkole dla wyjątkowych dzieci prowadzonej przez Mandaryna , całe życie przygotowywał się do turnieju, w którym wezmą udział najwięksi mistrzowie sztuk walki. Zwycięzca otrzyma dziesięć pierścieni, które umożliwiają władzę nad żywiołami.",/aNRsP3d6UYrbO1XxGE0zYBZUihq.jpg,Shang-Chi i legenda dziesięciu pierścieni,7.8,4244,2453.799,2021-09-01,/cinER0ESG0eJ49kXlExM0MEWGxW.jpg
6,617653,"Wytwórnia 20th Century Studios i reżyser-wizjoner Ridley Scott przedstawiają ""Ostatni pojedynek"" - trzymającą w napięciu opowieść o zdradzie i zemście, rozgrywającą się w brutalnej scenerii czternastowiecznej Francji. Ta oparta na autentycznych wydarzeniach historyczna epopeja obala przekonania na temat ostatniego pojedynku sądowego pomiędzy Jeanem de Carrouges i Jacquesem Le Gris - dwoma przyjaciółmi, którzy stali się zaciekłymi rywalami.",/fC2VANkgaN68f7eytyt9Lz9aSlS.jpg,Ostatni Pojedynek,7.6,917,2326.27,2021-10-13,/mFbS5TwN95BcSEfiztdchLgTQ0v.jpg
7,482321,"Barney jako jedyny w szkole nie ma przyjaciela ani jego namiastki - podręcznego robota. Dostaje go wreszcie na urodziny, ale wadliwego, co powoduje masę niespodziewanych problemów.",/gA9QxSravC2EVEkEKgyEmDrfL0e.jpg,Ron Usterka,8.5,343,1917.981,2021-10-15,/1aHMaBE40pU77XUHqSi7FSCngQ2.jpg
8,589761,Strażak Aleksiej odnajduje dawną miłość i przechodzi na emeryturę. Jednak jego spokojne życie wkrótce zakłóca tragiczna katastrofa w Czarnobylu.,/gIms8eHt9I7Cp6DWEaJUOYHmMWZ.jpg,Czarnobyl 1986,6.2,236,1851.254,2021-04-15,/xGrTm3J0FTafmuQ85vF7ZCw94x6.jpg
9,774741,"Greg Heffley to chudy, ale ambitny dzieciak z aktywną wyobraźnią i wielkimi planami bycia bogatym i sławnym – ale musi najpierw przeżyć gimnazjum.",/obg6lWuNaZkoSlwrVG4VVk4SmT.jpg,Dziennik cwaniaczka,7.1,71,1836.038,2021-12-03,/5RMqFZdefnDwY7rdD1oJcTkWPdF.jpg
