,movie_id,name
0,11,"['Mark Hamill', 'Harrison Ford', 'Carrie Fisher']"
1,12,"['Albert Brooks', 'Ellen DeGeneres', 'Alexander Gould']"
2,13,"['Tom Hanks', 'Robin Wright', 'Gary Sinise']"
3,22,"['Johnny Depp', 'Orlando Bloom', 'Keira Knightley']"
4,24,"['Uma Thurman', 'Lucy Liu', 'Vivica A. Fox']"
5,35,"['Dan Castellaneta', 'Julie Kavner', 'Nancy Cartwright']"
6,58,"['Johnny Depp', 'Orlando Bloom', 'Keira Knightley']"
7,95,"['Bruce Willis', 'Billy Bob Thornton', 'Ben Affleck']"
8,98,"['Russell Crowe', 'Joaquin Phoenix', 'Connie Nielsen']"
9,105,"['Michael J. Fox', 'Christopher Lloyd', 'Lea Thompson']"
10,106,"['Arnold Schwarzenegger', 'Carl Weathers', 'Elpidia Carrillo']"
11,111,"['Al Pacino', 'Steven Bauer', 'Michelle Pfeiffer']"
12,118,"['Johnny Depp', 'Freddie Highmore', 'David Kelly']"
13,120,"['Elijah Wood', 'Ian McKellen', 'Liv Tyler']"
14,121,"['Elijah Wood', 'Ian McKellen', 'Liv Tyler']"
15,122,"['Elijah Wood', 'Ian McKellen', 'Liv Tyler']"
16,129,"['Rumi Hiiragi', 'Miyu Irino', 'Mari Natsuki']"
17,149,"['Mitsuo Iwata', 'Nozomu Sasaki', 'Mami Koyama']"
18,155,"['Christian Bale', 'Heath Ledger', 'Michael Caine']"
19,176,"['Cary Elwes', 'Leigh Whannell', 'Danny Glover']"
20,189,"['Mickey Rourke', 'Jessica Alba', 'Bruce Willis']"
21,238,"['Marlon Brando', 'Al Pacino', 'James Caan']"
22,268,"['Michael Keaton', 'Jack Nicholson', 'Kim Basinger']"
23,272,"['Christian Bale', 'Michael Caine', 'Liam Neeson']"
24,278,"['Tim Robbins', 'Morgan Freeman', 'Bob Gunton']"
25,280,"['Arnold Schwarzenegger', 'Linda Hamilton', 'Edward Furlong']"
26,285,"['Johnny Depp', 'Orlando Bloom', 'Keira Knightley']"
27,310,"['Jim Carrey', 'Morgan Freeman', 'Jennifer Aniston']"
28,348,"['Sigourney Weaver', 'Tom Skerritt', 'John Hurt']"
29,350,"['Anne Hathaway', 'Meryl Streep', 'Emily Blunt']"
30,408,"['Adriana Caselotti', 'Lucille La Verne', 'Harry Stockwell']"
31,411,"['Georgie Henley', 'Skandar Keynes', 'William Moseley']"
32,425,"['Ray Romano', 'John Leguizamo', 'Denis Leary']"
33,440,"['Steven Pasquale', 'Reiko Aylesworth', 'John Ortiz']"
34,497,"['Tom Hanks', 'David Morse', 'Bonnie Hunt']"
35,534,"['Christian Bale', 'Sam Worthington', 'Moon Bloodgood']"
