,id,genre_ids,name
0,11,"[878, 28, 12]","['Sci-Fi', 'Akcja', 'Przygodowy']"
1,12,"[16, 10751]","['Animacja', 'Familijny']"
2,13,"[35, 18, 10749]","['Komedia', 'Dramat', 'Romans']"
3,22,"[28, 12, 14]","['Akcja', 'Przygodowy', 'Fantasy']"
4,24,"[28, 80]","['Akcja', 'Kryminał']"
5,35,"[35, 16, 10751]","['Komedia', 'Animacja', 'Familijny']"
6,58,"[28, 12, 14]","['Akcja', 'Przygodowy', 'Fantasy']"
7,95,"[878, 28, 12, 53]","['Sci-Fi', 'Akcja', 'Przygodowy', 'Thriller']"
8,98,"[28, 12, 18]","['Akcja', 'Przygodowy', 'Dramat']"
9,105,"[878, 12, 35, 10751]","['Sci-Fi', 'Przygodowy', 'Komedia', 'Familijny']"
10,106,"[878, 28, 12, 53]","['Sci-Fi', 'Akcja', 'Przygodowy', 'Thriller']"
11,111,"[28, 80, 53, 18]","['Akcja', 'Kryminał', 'Thriller', 'Dramat']"
12,118,"[12, 35, 10751, 14]","['Przygodowy', 'Komedia', 'Familijny', 'Fantasy']"
13,120,"[28, 12, 14]","['Akcja', 'Przygodowy', 'Fantasy']"
14,121,"[28, 12, 14]","['Akcja', 'Przygodowy', 'Fantasy']"
15,122,"[28, 12, 14]","['Akcja', 'Przygodowy', 'Fantasy']"
16,129,"[16, 10751, 14]","['Animacja', 'Familijny', 'Fantasy']"
17,149,"[878, 28, 16]","['Sci-Fi', 'Akcja', 'Animacja']"
18,155,"[28, 80, 53, 18]","['Akcja', 'Kryminał', 'Thriller', 'Dramat']"
19,176,"[80, 27, 9648]","['Kryminał', 'Horror', 'Tajemnica']"
20,189,"[28, 80, 53]","['Akcja', 'Kryminał', 'Thriller']"
21,238,"[80, 18]","['Kryminał', 'Dramat']"
22,268,"[28, 14]","['Akcja', 'Fantasy']"
23,272,"[28, 80, 18]","['Akcja', 'Kryminał', 'Dramat']"
24,278,"[80, 18]","['Kryminał', 'Dramat']"
25,280,"[878, 28, 53]","['Sci-Fi', 'Akcja', 'Thriller']"
26,285,"[28, 12, 14]","['Akcja', 'Przygodowy', 'Fantasy']"
27,310,"[35, 14]","['Komedia', 'Fantasy']"
28,348,"[878, 27]","['Sci-Fi', 'Horror']"
29,350,"[35, 18, 10749]","['Komedia', 'Dramat', 'Romans']"
30,408,"[16, 10751, 14]","['Animacja', 'Familijny', 'Fantasy']"
31,411,"[12, 10751, 14]","['Przygodowy', 'Familijny', 'Fantasy']"
32,425,"[12, 35, 16, 10751]","['Przygodowy', 'Komedia', 'Animacja', 'Familijny']"
33,440,"[878, 28, 53, 14, 27]","['Sci-Fi', 'Akcja', 'Thriller', 'Fantasy', 'Horror']"
34,497,"[80, 14, 18]","['Kryminał', 'Fantasy', 'Dramat']"
35,534,"[878, 28, 53]","['Sci-Fi', 'Akcja', 'Thriller']"
36,550,[18],['Dramat']
37,557,"[28, 14]","['Akcja', 'Fantasy']"
38,558,"[28, 12, 14]","['Akcja', 'Przygodowy', 'Fantasy']"
39,559,"[28, 12, 14]","['Akcja', 'Przygodowy', 'Fantasy']"
40,561,"[28, 14, 27]","['Akcja', 'Fantasy', 'Horror']"
41,564,"[28, 12, 14]","['Akcja', 'Przygodowy', 'Fantasy']"
42,585,"[35, 16, 10751]","['Komedia', 'Animacja', 'Familijny']"
43,597,"[18, 10749]","['Dramat', 'Romans']"
44,603,"[878, 28]","['Sci-Fi', 'Akcja']"
45,604,"[878, 28, 12, 53]","['Sci-Fi', 'Akcja', 'Przygodowy', 'Thriller']"
46,605,"[878, 28, 12, 53]","['Sci-Fi', 'Akcja', 'Przygodowy', 'Thriller']"
47,607,"[878, 28, 12, 35]","['Sci-Fi', 'Akcja', 'Przygodowy', 'Komedia']"
48,615,[18],['Dramat']
49,620,"[35, 14]","['Komedia', 'Fantasy']"
50,630,"[12, 10751, 14]","['Przygodowy', 'Familijny', 'Fantasy']"
51,652,"[12, 36, 10752]","['Przygodowy', 'Historyczny', 'Wojenny']"
52,671,"[12, 14]","['Przygodowy', 'Fantasy']"
53,672,"[12, 14]","['Przygodowy', 'Fantasy']"
54,673,"[12, 14]","['Przygodowy', 'Fantasy']"
55,674,"[12, 10751, 14]","['Przygodowy', 'Familijny', 'Fantasy']"
56,675,"[12, 14, 9648]","['Przygodowy', 'Fantasy', 'Tajemnica']"
57,676,"[28, 18, 36, 10749, 10752]","['Akcja', 'Dramat', 'Historyczny', 'Romans', 'Wojenny']"
58,680,"[80, 53]","['Kryminał', 'Thriller']"
59,694,"[53, 27]","['Thriller', 'Horror']"
60,756,"[16, 10751]","['Animacja', 'Familijny']"
61,767,"[12, 14]","['Przygodowy', 'Fantasy']"
62,772,"[12, 35, 10751]","['Przygodowy', 'Komedia', 'Familijny']"
63,808,"[12, 35, 16, 10751, 14]","['Przygodowy', 'Komedia', 'Animacja', 'Familijny', 'Fantasy']"
64,809,"[12, 35, 16, 10751, 14]","['Przygodowy', 'Komedia', 'Animacja', 'Familijny', 'Fantasy']"
65,810,"[12, 35, 16, 10751, 14]","['Przygodowy', 'Komedia', 'Animacja', 'Familijny', 'Fantasy']"
66,812,"[12, 16, 10751, 14, 10749]","['Przygodowy', 'Animacja', 'Familijny', 'Fantasy', 'Romans']"
67,841,"[878, 28, 12]","['Sci-Fi', 'Akcja', 'Przygodowy']"
68,854,"[35, 80, 14, 10749]","['Komedia', 'Kryminał', 'Fantasy', 'Romans']"
69,857,"[18, 36, 10752]","['Dramat', 'Historyczny', 'Wojenny']"
70,862,"[12, 35, 16, 10751]","['Przygodowy', 'Komedia', 'Animacja', 'Familijny']"
