,movie_id,name
0,11,"['android', 'galaxy', 'hermit']"
1,12,"['parent child relationship', 'sydney, australia', 'harbor']"
2,13,"['vietnam veteran', 'hippie', 'washington dc, usa']"
3,22,"['exotic island', 'blacksmith', 'east india company']"
4,24,"['japan', 'coma', 'martial arts']"
5,35,"['parent child relationship', 'garbage', 'pollution']"
6,58,"['witch', 'fortune teller', 'bondage']"
7,95,"['saving the world', 'paris, france', 'moon']"
8,98,"['rome, italy', 'parent child relationship', 'gladiator']"
9,105,"['clock tower', 'flying car', 'car race']"
10,106,"['guerrilla warfare', 'central and south america', 'predator']"
11,111,"['sibling relationship', 'miami, florida', 'corruption']"
12,118,"['london, england', 'chocolate', 'factory worker']"
13,120,"['elves', 'dwarf', 'orcs']"
14,121,"['elves', 'dwarf', 'orcs']"
15,122,"['elves', 'dwarf', 'orcs']"
16,129,"['witch', 'parent child relationship', 'magic']"
17,149,"['saving the world', 'total destruction', 'megacity']"
18,155,"['dc comics', 'crime fighter', 'secret identity']"
19,176,"['detective', 'shotgun', 'sadism']"
20,189,"['detective', 'dystopia', 'dominatrix']"
21,238,"['italy', 'loss of loved one', 'love at first sight']"
22,268,"['double life', 'dc comics', 'dual identity']"
23,272,"['loss of loved one', 'martial arts', 'dc comics']"
24,278,"['prison', 'corruption', 'police brutality']"
25,280,"['cyborg', 'shotgun', 'villain']"
26,285,"['exotic island', 'east india company', ""love of one's life""]"
27,310,"['christianity', 'moon', 'moses']"
28,348,"['android', 'spacecraft', 'countdown']"
29,350,"['paris, france', 'new york city', 'journalist']"
30,408,"['poison', 'dwarf', 'witch']"
31,411,"['saving the world', 'sibling relationship', 'witch']"
32,425,"['human evolution', 'loss of loved one', 'parent child relationship']"
33,440,"['predator', 'colorado', 'national guard']"
34,497,"['southern usa', 'mentally disabled', 'based on novel or book']"
35,534,"['saving the world', 'artificial intelligence', 'prophecy']"
36,550,"['based on novel or book', 'support group', 'dual identity']"
37,557,"['new york city', 'loss of loved one', 'adolescence']"
38,558,"['new york city', 'dual identity', 'secret identity']"
39,559,"['loss of loved one', 'dual identity', 'amnesia']"
40,561,"['christianity', 'angel', 'confession']"
41,564,"['library', 'secret passage', 'cairo']"
42,585,"['monster', 'cheating', 'kidnapping']"
43,597,"['drowning', 'evacuation', 'shipwreck']"
44,603,"['saving the world', 'artificial intelligence', 'man vs machine']"
45,604,"['saving the world', 'artificial intelligence', 'man vs machine']"
46,605,"['saving the world', 'artificial intelligence', 'man vs machine']"
47,607,"['new york city', 'secret identity', 'undercover']"
48,615,"['christianity', 'jewry', 'roman empire']"
49,620,"['new york city', 'library', 'mythology']"
50,630,"['witch', 'adolescence', 'based on novel or book']"
51,652,"['sibling relationship', 'adultery', 'mythology']"
52,671,"['witch', 'based on novel or book', 'magic']"
53,672,"['flying car', 'witch', 'magic']"
54,673,"['flying', 'traitor', 'magic']"
55,674,"['based on novel or book', 'magic', 'dying and death']"
56,675,"['prophecy', 'witch', 'loss of loved one']"
57,676,"['nurse', 'patriotism', 'hawaii']"
58,680,"['drug dealer', 'boxer', 'massage']"
59,694,"['hotel', 'montana', 'based on novel or book']"
60,756,"['orchestra', 'musical', 'classical music']"
61,767,"['witch', 'magic', 'school of witchcraft']"
62,772,"['holiday', 'new york city', 'burglar']"
63,808,"['magic', 'liberation', 'lordship']"
64,809,"['prison', 'magic', 'liberation']"
65,810,"['ambush', 'sadness', 'stage']"
66,812,"['magic', 'parrot', 'musical']"
67,841,"['prophecy', 'witch', 'monster']"
68,854,"['dual identity', 'bank', 'mockery']"
69,857,"['war crimes', 'self sacrifice', 'war veteran']"
70,862,"['martial arts', 'jealousy', 'friendship']"
71,863,"['museum', 'prosecution', 'identity crisis']"
