,original_language,poster_path,release_date,genre_ids_x,video,original_title,id,title,vote_average,adult,vote_count,backdrop_path,popularity,overview,cast,director,keywords,genre_ids_y,name
0,en,/pZe4xYwDkmxhf3oA8DNEihOW4pW.jpg,2021-09-30,"[878, 28, 12]",False,Venom: Let There Be Carnage,580489,Venom 2: Carnage,7.2,False,4025,/lNyLSOKMMeUPr1RsL4KcRuIXwHt.jpg,12506.888,"Po znalezieniu ciała gospodarza u reportera śledczego Eddiego Brocka, obcy symbiont musi stawić czoła nowemu wrogowi, Carnage, alter ego seryjnego mordercy Cletusa Kasady.","['Tom Hardy', 'Woody Harrelson', 'Michelle Williams']",['Andy Serkis'],"['hero', 'anti hero', 'villain']","[878, 28, 12]","['Sci-Fi', 'Akcja', 'Przygodowy']"
1,en,/lUyYcx7DR06oAFBwLaxOObJn2lW.jpg,2021-11-04,"[28, 35, 80, 53]",False,Red Notice,512195,Czerwona nota,6.8,False,1788,/5uVhMGsps81CN0S4U9NF0Z4tytG.jpg,3819.259,"Gdy Interpol wystawia czerwoną notę - globalny list gończy za najbardziej poszukiwanymi przestępcami na świecie - do akcji wkracza najlepszy behawiorysta z FBI John Hartley. W czasie pościgu przypadkiem trafia w sam środek brawurowego skoku. Aby złapać najgroźniejszego złodzieja dzieł sztuki na świecie znanego jako ""The Bishop"", musi współpracować z jego rywalem Nolanem Boothem. Szalona przygoda rzuci to - ku niezadowoleniu niektórych - nierozłączne trio w najdalsze zakątki świata, na parkiet taneczny, do więzienia i do dżungli. ""Czerwona nota"" to stylowa, brawurowa gra w kotka i myszkę (i kotka).","['Dwayne Johnson', 'Ryan Reynolds', 'Gal Gadot']",['Rawson Marshall Thurber'],"['fbi', 'interpol', 'heist']","[28, 35, 80, 53]","['Akcja', 'Komedia', 'Kryminał', 'Thriller']"
2,en,/ygPTrycbMSFDc5zUpy4K5ZZtQSC.jpg,2021-11-10,"[16, 35, 10751]",False,Clifford the Big Red Dog,585245,Clifford. Wielki czerwony pies,7.6,False,407,/zBkHCpLmHjW2uVURs5uZkaVmgKR.jpg,3975.734,"Ośmioletnia dziewczynka, Emily Elizabeth marzy o tym, aby jej maleńki, czerwony szczeniak urósł i był silny, nie spodziewa się jednak, że budząc się pewnego ranka znajdzie wielkiego psa w swoim małym mieszkaniu w Nowym Jorku. Emily za wszelką cenę chce, aby ukochany zwierzak został z nią. Postanawia znaleźć czarodzieja, który, przywróci Clifforda do normalnego rozmiaru. Na poszukiwania udaje się ze swoim wujem Caseyem i szkolnym kolegą Owenem. Clifford wzbudza powszechne zaciekawienie. Przyciąga również uwagę złego naukowca, który chce aby Clifford został jego psem.","['Darby Camp', 'Jack Whitehall', 'Izaac Wang']",['Walt Becker'],"['based on novel or book', 'giant dog']","[35, 16, 10751]","['Komedia', 'Animacja', 'Familijny']"
3,en,/aNRsP3d6UYrbO1XxGE0zYBZUihq.jpg,2021-09-01,"[28, 12, 14]",False,Shang-Chi and the Legend of the Ten Rings,566525,Shang-Chi i legenda dziesięciu pierścieni,7.9,False,3979,/cinER0ESG0eJ49kXlExM0MEWGxW.jpg,3592.182,"Sierota obdarzony specjalnymi mocami,  wychowany w szkole dla wyjątkowych dzieci prowadzonej przez Mandaryna , całe życie przygotowywał się do turnieju, w którym wezmą udział najwięksi mistrzowie sztuk walki. Zwycięzca otrzyma dziesięć pierścieni, które umożliwiają władzę nad żywiołami.","['Simu Liu', 'Tony Leung Chiu-wai', 'Awkwafina']",['Destin Daniel Cretton'],"['martial arts', 'superhero', 'based on comic']","[28, 12, 14]","['Akcja', 'Przygodowy', 'Fantasy']"
4,ru,/gIms8eHt9I7Cp6DWEaJUOYHmMWZ.jpg,2021-04-15,"[18, 36, 12]",False,Чернобыль,589761,Czarnobyl 1986,6.2,False,223,/xGrTm3J0FTafmuQ85vF7ZCw94x6.jpg,3533.029,Strażak Aleksiej odnajduje dawną miłość i przechodzi na emeryturę. Jednak jego spokojne życie wkrótce zakłóca tragiczna katastrofa w Czarnobylu.,"['Danila Kozlovsky', 'Oksana Akinshina', 'Philip Avdeev']",['Danila Kozlovsky'],['chernobyl'],"[12, 18, 36]","['Przygodowy', 'Dramat', 'Historyczny']"
5,en,/1g0dhYtq4irTY1GPXvft6k4YLjm.jpg,2021-12-15,"[28, 12, 878]",False,Spider-Man: No Way Home,634649,Spider-Man: Bez drogi do domu,0.0,False,0,/VlHt27nCqOuTnuX6bku8QZapzO.jpg,2372.215,"Po raz pierwszy w kinowej historii Spider-Mana nasz przyjazny bohater z sąsiedztwa zostaje zdemaskowany i nie jest już w stanie oddzielić swojego normalnego życia od wysokiej stawki bycia superbohaterem. Kiedy prosi o pomoc Doktora Strange'a, stawka staje się jeszcze bardziej niebezpieczna, zmuszając go do odkrycia, co to naprawdę znaczy być Spider-Manem.","['Tom Holland', 'Zendaya', 'Benedict Cumberbatch']",['Jon Watts'],"['hero', 'comic book', 'superhero']","[878, 28, 12]","['Sci-Fi', 'Akcja', 'Przygodowy']"
6,en,/h7pYFSrhA21DcJS43h26LvHSgtR.jpg,2021-09-29,"[12, 28, 53]",False,No Time to Die,370172,Nie czas umierać,7.5,False,2390,/r2GAjd4rNOHJh6i6Y0FntmYuPQW.jpg,1775.597,"James Bond opuszcza czynną służbę i cieszy się spokojnym życiem na Jamajce. Tymczasem jednak jego stary przyjaciel Felix Leiter z CIA zwraca się do niego o pomoc. Misja uratowania porwanego naukowca okazuje się o wiele bardziej zdradliwa, niż mogłoby się wydawać i naprowadza agenta 007 na ślad tajemniczego złoczyńcy, dysponującego nową, niezwykle niebezpieczną technologią.","['Daniel Craig', 'Rami Malek', 'Léa Seydoux']",['Cary Joji Fukunaga'],"['spy', 'british secret service', 'nanobots']","[28, 12, 53]","['Akcja', 'Przygodowy', 'Thriller']"
7,ru,/h6WSdu91WembH619okLty4Et8uW.jpg,2021-02-11,"[10749, 27, 53]",False,Приворот. Чёрное венчание,633802,Mroczne zaklęcie,7.3,False,40,/o2OSpKzXuB1edCDyVC2MXAxXwyJ.jpg,1639.127,"Dark Spell opowiada o młodej kobiecie, która jest zdruzgotana po odejściu męża. Więc poznaje kogoś, kto może przywrócić jej wymarzonego mężczyznę za pomocą czarnej magii i demonicznej ceremonii. Ale za wysoką cenę.","['Yana Enzhaeva', 'Konstantin Beloshapka', 'Ilya Ermolov']",['Svyatoslav Podgaevsky'],"['black magic', 'spell', 'demonic ceremony']","[53, 10749, 27]","['Thriller', 'Romans', 'Horror']"
8,en,/6AdXwFTRTAzggD2QUTt5B7JFGKL.jpg,2021-11-03,"[28, 12, 878, 18]",False,Eternals,524434,Eternals,7.1,False,1348,/lyvszvJJqqI8aqBJ70XzdCNoK0y.jpg,1527.452,"Eternals to zespół starożytnych kosmitów, którzy żyją w tajemnicy na Ziemi od tysięcy lat. Kiedy niespodziewana tragedia wyprowadza ich z cienia, są zmuszeni ponownie zjednoczyć się przeciwko najstarszemu wrogowi ludzkości, Deviantom.","['Gemma Chan', 'Richard Madden', 'Angelina Jolie']",['Chloé Zhao'],"['boredom', 'supernatural', 'superhero']","[878, 28, 12, 18]","['Sci-Fi', 'Akcja', 'Przygodowy', 'Dramat']"
9,en,/jKuDyqx7jrjiR9cDzB5pxzhJAdv.jpg,2021-11-04,"[878, 18, 12]",False,Finch,522402,Finch,8.2,False,1343,/oE6bhqqVFyIECtBzqIuvh6JdaB5.jpg,1392.921,"Akcja filmu rozgrywa się na postapokaliptycznej Ziemi, na której robot, zbudowany aby chronić życie ukochanego psa umierającego stwórcy, dowiaduje się o życiu, miłości, przyjaźni i co to znaczy być człowiekiem.","['Tom Hanks', 'Caleb Landry Jones', 'Oscar Avila']",['Miguel Sapochnik'],"['robot', 'journey', 'humanity']","[878, 12, 18]","['Sci-Fi', 'Przygodowy', 'Dramat']"
